route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
City Centre / Hudson Bay Park,3,000000,36B274,,10730,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,03
City Centre,3,000000,FF8000,,10731,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,04
University / Confederation,3,000000,359E30,,10783,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,60
Broadway / Market Mall,3,000000,8F9336,,10804,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,06
University / Kensington,3,000000,FFFF99,,10787,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,65
University / Hampton Village,3,000000,FF8000,,10786,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,63
University / Montgomery,3,000000,FF8000,,10785,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,62
University / Blairmore,3,000000,FF8000,,10784,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,61
Cumberland / Centre Mall,3,000000,FF8000,,10789,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,81
8th Street / City Centre,3,000000,FF8000,,10806,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,08
Riversdale / City Centre,3,000000,006480,,10807,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,09
Meadowgreen / City Centre,3,000000,948BCF,,10800,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,02
City Centre / Hudson Bay Park,3,000000,36B274,,10801,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,03
Briarwood / Centre Mall,3,000000,FF8000,,10862,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,84
Rosewood / Centre Mall,3,000000,FF8000,,10863,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,86
Main Street / Centre Mall,3,000000,FF8000,,10860,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,82
Centre Mall / Stonebridge,3,000000,FF8000,,10861,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,83
Jingle Bell Express,3,000000,FF8000,,10864,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,1225
City Centre / Exhibition,3,000000,A21F6C,,10799,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,01
Main Street / Centre Mall,3,000000,FF8000,,10790,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,82
Centre Mall / Stonebridge,3,000000,FF8000,,10791,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,83
Briarwood / Centre Mall,3,000000,FF8000,,10792,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,84
Rosewood / Centre Mall,3,000000,FF8000,,10793,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,86
University / Hampton Village,3,000000,FF8000,,10857,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,63
University / Montgomery,3,000000,FF8000,,10856,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,62
University / Blairmore,3,000000,FF8000,,10855,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,61
University / Confederation,3,000000,359E30,,10854,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,60
Cumberland / Centre Mall,3,000000,FF8000,,10859,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,81
University / Kensington,3,000000,FFFF99,,10858,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,65
University,3,000000,4863E5,,10749,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,21
North Industrial / City Centre,3,000000,9EC149,,10814,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,14
South Industrial / City Centre,3,000000,C1C0E1,,10819,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,20
Evergreen / City Centre,3,000000,FF8000,,10840,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,43
Willowgrove / City Centre,3,000000,FF8000,,10841,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,44
Arbor Creek / City Centre,3,000000,A47CC1,,10842,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,45
City Centre / Civic Op Centre,3,000000,FF8000,,10744,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,15
SaskTel Centre / North Ind,3,000000,008080,,10846,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,514
Lakeridge / University,3,000000,FF8000,,10849,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,55
Dundonald / City Centre,3,000000,3FA89B,,10805,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,07
Airport / City Centre,3,000000,8AB0DD,,10740,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,11
St Joseph,3,000000,FF8000,,10767,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,352
ABLITIES COUNCIL,3,000000,FF0000,,10826,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,305
Silverspring / University,3,000000,FF8000,,10824,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,27
Aden Bowman,3,000000,FF8000,,10835,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,336
SaskTel Centre / City Centre,3,000000,FF8000,,10834,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,333
Silverwood / City Centre,3,000000,F48FA8,,10837,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,35
Holy Cross,3,000000,FF8000,,10762,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,332
Cross & Murray,3,000000,FF8000,,10765,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,338
"Bedford, Feehan & Royal",3,000000,FF8000,,10830,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,315
Holy Cross,3,000000,FF8000,,10833,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,332
Oskayak & Nutana,3,000000,FF8000,,10832,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,325
Evergreen / City Centre,3,000000,FF8000,,10769,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,43
Bishop Murray,3,000000,FF0000,,10768,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,358
Bishop Murray,3,000000,FF0000,,10839,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,358
St Joseph,3,000000,FF8000,,10838,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,352
City Centre / Confederation,3,000000,D1C85D,,10821,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,22
